areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-07-14,00_04,735,4235,128.3
E92000001,England,nation,2021-07-14,00_59,46434,227306,530.8
E92000001,England,nation,2021-07-14,05_09,2013,11823,334.2
E92000001,England,nation,2021-07-14,10_14,4115,23980,714.9
E92000001,England,nation,2021-07-14,15_19,6453,31270,1011.9
E92000001,England,nation,2021-07-14,20_24,7686,35138,1007.4
E92000001,England,nation,2021-07-14,25_29,7247,31024,816.1
E92000001,England,nation,2021-07-14,30_34,5380,24368,639.9
E92000001,England,nation,2021-07-14,35_39,3816,18843,504.7
E92000001,England,nation,2021-07-14,40_44,3071,15377,450.4
E92000001,England,nation,2021-07-14,45_49,2398,12491,336.2
E92000001,England,nation,2021-07-14,50_54,2020,10787,276.1
E92000001,England,nation,2021-07-14,55_59,1500,7970,217.1
E92000001,England,nation,2021-07-14,60+,2377,12396,92.1
E92000001,England,nation,2021-07-14,60_64,975,4856,156.0
E92000001,England,nation,2021-07-14,65_69,547,2812,100.5
E92000001,England,nation,2021-07-14,70_74,391,2077,74.7
E92000001,England,nation,2021-07-14,75_79,221,1231,63.4
E92000001,England,nation,2021-07-14,80_84,134,733,50.9
E92000001,England,nation,2021-07-14,85_89,64,424,48.2
E92000001,England,nation,2021-07-14,90+,45,263,50.8
E92000001,England,nation,2021-07-14,unassigned,19,118,
E92000001,England,nation,2021-07-13,00_04,733,4079,123.6
E92000001,England,nation,2021-07-13,00_59,40082,212823,497.0
E92000001,England,nation,2021-07-13,05_09,1990,11427,323.0
E92000001,England,nation,2021-07-13,10_14,3901,23120,689.3
E92000001,England,nation,2021-07-13,15_19,5464,29210,945.2
E92000001,England,nation,2021-07-13,20_24,6554,33002,946.2
E92000001,England,nation,2021-07-13,25_29,5843,28394,746.9
E92000001,England,nation,2021-07-13,30_34,4385,22321,586.2
E92000001,England,nation,2021-07-13,35_39,3333,17596,471.3
E92000001,England,nation,2021-07-13,40_44,2601,14398,421.7
E92000001,England,nation,2021-07-13,45_49,2136,11750,316.2
E92000001,England,nation,2021-07-13,50_54,1855,10126,259.1
E92000001,England,nation,2021-07-13,55_59,1287,7400,201.6
E92000001,England,nation,2021-07-13,60+,2032,11510,85.5
E92000001,England,nation,2021-07-13,60_64,796,4487,144.2
E92000001,England,nation,2021-07-13,65_69,462,2598,92.9
E92000001,England,nation,2021-07-13,70_74,320,1912,68.8
E92000001,England,nation,2021-07-13,75_79,215,1157,59.6
E92000001,England,nation,2021-07-13,80_84,105,685,47.6
E92000001,England,nation,2021-07-13,85_89,81,414,47.1
E92000001,England,nation,2021-07-13,90+,53,257,49.7
E92000001,England,nation,2021-07-13,unassigned,38,115,
E92000001,England,nation,2021-07-12,00_04,763,3898,118.1
E92000001,England,nation,2021-07-12,00_59,37337,202232,472.3
E92000001,England,nation,2021-07-12,05_09,2128,11125,314.4
E92000001,England,nation,2021-07-12,10_14,4324,22431,668.7
E92000001,England,nation,2021-07-12,15_19,5136,27874,902.0
E92000001,England,nation,2021-07-12,20_24,5399,31529,904.0
E92000001,England,nation,2021-07-12,25_29,4681,26575,699.1
E92000001,England,nation,2021-07-12,30_34,3854,20862,547.9
E92000001,England,nation,2021-07-12,35_39,3071,16544,443.1
E92000001,England,nation,2021-07-12,40_44,2592,13681,400.7
E92000001,England,nation,2021-07-12,45_49,2066,11199,301.4
E92000001,England,nation,2021-07-12,50_54,1907,9531,243.9
E92000001,England,nation,2021-07-12,55_59,1416,6983,190.2
E92000001,England,nation,2021-07-12,60+,2161,10860,80.7
E92000001,England,nation,2021-07-12,60_64,831,4214,135.4
E92000001,England,nation,2021-07-12,65_69,474,2422,86.6
E92000001,England,nation,2021-07-12,70_74,365,1831,65.9
E92000001,England,nation,2021-07-12,75_79,231,1085,55.9
E92000001,England,nation,2021-07-12,80_84,131,666,46.3
E92000001,England,nation,2021-07-12,85_89,81,393,44.7
E92000001,England,nation,2021-07-12,90+,48,249,48.1
E92000001,England,nation,2021-07-12,unassigned,20,96,
E92000001,England,nation,2021-07-11,00_04,478,3688,111.8
E92000001,England,nation,2021-07-11,00_59,25422,193007,450.7
E92000001,England,nation,2021-07-11,05_09,1373,10827,306.0
E92000001,England,nation,2021-07-11,10_14,3133,21554,642.6
E92000001,England,nation,2021-07-11,15_19,3532,26696,863.9
E92000001,England,nation,2021-07-11,20_24,3449,30919,886.5
E92000001,England,nation,2021-07-11,25_29,3074,25336,666.5
E92000001,England,nation,2021-07-11,30_34,2669,19661,516.3
E92000001,England,nation,2021-07-11,35_39,2135,15613,418.2
E92000001,England,nation,2021-07-11,40_44,1752,12852,376.4
E92000001,England,nation,2021-07-11,45_49,1476,10609,285.5
E92000001,England,nation,2021-07-11,50_54,1347,8841,226.3
E92000001,England,nation,2021-07-11,55_59,1004,6411,174.7
E92000001,England,nation,2021-07-11,60+,1446,10026,74.5
E92000001,England,nation,2021-07-11,60_64,588,3897,125.2
E92000001,England,nation,2021-07-11,65_69,343,2240,80.1
E92000001,England,nation,2021-07-11,70_74,232,1692,60.9
E92000001,England,nation,2021-07-11,75_79,135,985,50.8
E92000001,England,nation,2021-07-11,80_84,87,620,43.1
E92000001,England,nation,2021-07-11,85_89,41,362,41.1
E92000001,England,nation,2021-07-11,90+,20,230,44.5
E92000001,England,nation,2021-07-11,unassigned,13,85,
E92000001,England,nation,2021-07-10,00_04,453,3581,108.5
E92000001,England,nation,2021-07-10,00_59,23449,187925,438.9
E92000001,England,nation,2021-07-10,05_09,1354,10607,299.8
E92000001,England,nation,2021-07-10,10_14,2740,21161,630.9
E92000001,England,nation,2021-07-10,15_19,3171,26104,844.7
E92000001,England,nation,2021-07-10,20_24,3314,30893,885.7
E92000001,England,nation,2021-07-10,25_29,2895,24615,647.5
E92000001,England,nation,2021-07-10,30_34,2477,18815,494.1
E92000001,England,nation,2021-07-10,35_39,1982,14953,400.5
