areaCode,areaName,areaType,date,age,VaccineRegisterPopulationByVaccinationDate,cumPeopleVaccinatedCompleteByVaccinationDate,newPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationCompleteCoverageByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage
E92000001,England,nation,2021-07-18,18_24,5239106.0,898833.0,7084.0,3056969.0,9938.0,898833.0,7084.0,58.4,17.2,17.2
E92000001,England,nation,2021-07-18,25_29,4445676.0,966269.0,9040.0,2616854.0,5025.0,966269.0,9040.0,58.9,21.7,21.7
E92000001,England,nation,2021-07-18,30_34,4750601.0,1311832.0,15264.0,2981230.0,3705.0,1311832.0,15264.0,62.8,27.6,27.6
E92000001,England,nation,2021-07-18,35_39,4509821.0,1781468.0,33312.0,3079427.0,2352.0,1781468.0,33312.0,68.3,39.5,39.5
E92000001,England,nation,2021-07-18,40_44,4124284.0,2414045.0,20969.0,3086149.0,1325.0,2414045.0,20969.0,74.8,58.5,58.5
E92000001,England,nation,2021-07-18,45_49,3999143.0,2846067.0,11487.0,3234745.0,919.0,2846067.0,11487.0,80.9,71.2,71.2
E92000001,England,nation,2021-07-18,50_54,4225573.0,3445092.0,1581.0,3625920.0,500.0,3445092.0,1581.0,85.8,81.5,81.5
E92000001,England,nation,2021-07-18,55_59,4076715.0,3451358.0,1055.0,3602425.0,355.0,3451358.0,1055.0,88.4,84.7,84.7
E92000001,England,nation,2021-07-18,60_64,3450161.0,3011855.0,533.0,3115106.0,206.0,3011855.0,533.0,90.3,87.3,87.3
E92000001,England,nation,2021-07-18,65_69,2890078.0,2612280.0,256.0,2665853.0,107.0,2612280.0,256.0,92.2,90.4,90.4
